PCON21CD,PCON21NM,SAM_WPC_DEC_2020_UK_AREAEHECT,SAM_PCON_DEC_2021_UK_AREAEHECT,EOTR_Diff,Reason,SAM_WPC_DEC_2020_UK_AREACHECT,SAM_PCON_DEC_2021_UK_AREACHECT,CtoC_Diff,Reason,SAM_WPC_DEC_2020_UK_AREAIHECT,SAM_PCON_DEC_2021_UK_AREAIHECT,ILW_Diff,Reason,SAM_WPC_DEC_2020_UK_AREALHECT,SAM_PCON_DEC_2021_UK_AREALHECT,LC_Diff,Reason
E14000722,Halesowen and Rowley Regis,2976.2,2976.2,0,,2976.2,2976.2,0,,0,0,0,,2976.2,2976.2,0,
E14000723,Halifax,5769.83,5769.83,0,,5769.83,5769.83,0,,0,0,0,,5769.83,5769.83,0,
E14000724,Haltemprice and Howden,45349.78,45349.94,-0.16,,43181.75,43180.9,0.85,,0,0,0,,43181.75,43180.9,0.85,
E14000725,Halton,6208.03,6208.03,0,,5084.28,5084.28,0,,0,0,0,,5084.28,5084.28,0,
E14000726,Hammersmith,1145.47,1145.47,0,,1127.76,1127.76,0,,0,0,0,,1127.76,1127.76,0,
E14000727,Hampstead and Kilburn,1274.97,1274.97,0,,1274.97,1274.97,0,,0,0,0,,1274.97,1274.97,0,
E14000728,Harborough,20488.27,20488.27,0,,20488.27,20488.27,0,,0,0,0,,20488.27,20488.27,0,
E14000729,Harlow,7969.15,7969.15,0,,7969.15,7969.15,0,,0,0,0,,7969.15,7969.15,0,
E14000730,Harrogate and Knaresborough,14814.7,14814.7,0,,14814.7,14814.7,0,,0,0,0,,14814.7,14814.7,0,
E14000731,Harrow East,2370.76,2370.76,0,,2370.76,2370.76,0,,0,0,0,,2370.76,2370.76,0,
E14000732,Harrow West,1785.32,1785.32,0,,1785.32,1785.32,0,,0,0,0,,1785.32,1785.32,0,
E14000733,Hartlepool,9834.67,9835.11,-0.44,,9371.26,9371.7,-0.44,,0,0,0,,9371.26,9371.7,-0.44,
E14000734,Harwich and North Essex,42087.73,42087.73,0,,39206.31,39206.31,0,,178,178.8,-0.8,,39027.51,39027.51,7.27596E-12,
E14000735,Hastings and Rye,18230.14,18230.14,0,,17704.31,17704.31,0,,0,0,0,,17704.31,17704.31,0,
E14000736,Havant,7079.05,7079.18,-0.13,,4758.39,4758.53,-0.14,,0,0,0,,4758.39,4758.53,-0.14,
E14000737,Hayes and Harlington,4503.68,4503.75,-0.07,,4503.68,4503.75,-0.07,,0,0,0,,4503.68,4503.75,-0.07,
E14000738,Hazel Grove,5829.79,5829.92,-0.13,,5829.79,5829.92,-0.13,,0,0,0,,5829.79,5829.92,-0.13,
E14000739,Hemel Hempstead,10437.14,10437.14,0,,10437.14,10437.14,0,,0,0,0,,10437.14,10437.14,0,
E14000740,Hemsworth,14997.71,14997.71,0,,14997.71,14997.71,0,,0,0,0,,14997.71,14997.71,0,
E14000741,Hendon,3134.06,3134.06,0,,3134.06,3134.06,0,,0,0,0,,3134.06,3134.06,0,
